,id,date,price,bedrooms,bathrooms,qm_living,qm_lot,floors,waterfront,view,condition,grade,qm_above,qm_basement,yr_built,yr_renovated,zipcode,lat,long,qm_living15,qm_lot15
0,7129300520,2014-10-13,221900.0,3,1,109.62467484206616,524.8978075065032,1.0,0.0,0.0,3,7,109.62467484206616,0,1955,0.0,98178,47.5112,-122.257,124.48903753251581,524.8978075065032
1,6414100192,2014-12-09,538000.0,3,2,238.75882571534748,672.7982162764772,2.0,0.0,0.0,3,7,201.59791898922336,1,1951,1991.0,98125,47.721000000000004,-122.319,157.00483091787441,709.6804162021554
2,5631500400,2015-02-25,180000.0,2,1,71.53474544778894,929.022668153103,1.0,0.0,0.0,3,6,71.53474544778894,0,1933,0.0,98028,47.7379,-122.23299999999999,252.69416573764403,748.9780750650317
3,2487200875,2014-12-09,604000.0,4,3,182.0884429580082,464.5113340765515,1.0,0.0,0.0,5,7,97.54738015607582,1,1965,0.0,98136,47.5208,-122.39299999999999,126.34708286882201,464.5113340765515
4,1954400510,2015-02-18,510000.0,3,2,156.07580824972132,750.6503158677073,1.0,0.0,0.0,3,8,156.07580824972132,0,1987,0.0,98074,47.6168,-122.045,167.22408026755855,697.0457079152732
5,7237550310,2014-05-12,1230000.0,4,4,503.53028613898186,9469.52805648458,1.0,0.0,0.0,3,11,361.3898179115571,1,2001,0.0,98053,47.6561,-122.005,442.21479004087706,9469.52805648458
6,1321400060,2014-06-27,257500.0,3,2,159.32738758825718,633.500557413601,2.0,0.0,0.0,3,7,159.32738758825718,0,1995,0.0,98003,47.3097,-122.32700000000001,207.91527313266445,633.500557413601
7,2008000270,2015-01-15,291850.0,3,1,98.47640282422893,902.1739130434784,1.0,0.0,0.0,3,7,98.47640282422893,0,1963,0.0,98198,47.4095,-122.315,153.288740245262,902.1739130434784
8,2414600126,2015-04-15,229500.0,3,1,165.36603493125233,693.9799331103679,1.0,0.0,0.0,3,7,97.54738015607582,1,1960,0.0,98146,47.5123,-122.337,165.36603493125233,753.7160906726125
9,3793500160,2015-03-12,323000.0,3,2,175.58528428093646,609.4388703084356,2.0,0.0,0.0,3,7,175.58528428093646,0,2003,0.0,98038,47.3684,-122.031,222.03641768859163,703.270159791899
10,1736800520,2015-04-03,662500.0,3,2,330.73206986250466,910.0706057227798,1.0,0.0,0.0,3,8,172.79821627647715,1,1965,0.0,98007,47.6007,-122.145,205.31400966183577,829.1527313266445
